Day,Season,Temp,Sun,Rain,Wind,AvgChlorophyll
67,Spring,10.4,61,33,22,79.5
68,Spring,10.7,61,33,22,79.7
69,Spring,10.9,62,32,22,79.6
70,Spring,11.1,62,31,23,78.8
71,Spring,11.4,63,31,23,77.5
72,Spring,11.6,63,30,23,79.3
73,Spring,11.8,64,30,23,78.4
74,Spring,12.1,64,29,24,77.8
75,Spring,12.3,65,29,24,78.1
76,Spring,12.5,65,28,24,77.6
77,Spring,12.7,65,28,24,77.8
78,Spring,12.9,66,28,25,77.1
79,Spring,13.2,66,27,25,76.9
80,Spring,13.4,67,27,25,76.6
81,Spring,13.6,67,27,25,76.2
82,Spring,13.8,68,26,26,75.7
83,Spring,14.0,68,26,26,76.0
84,Spring,14.2,68,26,26,75.8
85,Spring,14.4,69,26,27,75.8
86,Spring,14.6,69,25,27,75.2
87,Spring,14.8,70,25,27,75.4
88,Spring,15.0,70,25,28,75.0
89,Spring,15.2,70,25,28,74.8
90,Spring,15.4,71,25,28,75.2
91,Spring,15.6,71,25,29,75.2
92,Summer,15.8,72,25,29,75.4
93,Summer,15.9,72,25,29,75.6
94,Summer,16.1,72,25,30,75.5
95,Summer,16.3,73,25,30,75.5
96,Summer,16.5,73,25,31,75.9
97,Summer,16.6,73,26,31,76.1
98,Summer,16.8,74,26,31,76.1
99,Summer,16.9,74,26,32,76.1
100,Summer,17.1,74,26,32,76.5
101,Summer,17.2,74,26,33,76.5
102,Summer,17.4,75,27,33,76.5
103,Summer,17.5,75,27,33,76.6
104,Summer,17.7,75,27,34,76.6
105,Summer,17.8,76,28,34,76.7
106,Summer,17.9,76,28,35,76.8
107,Summer,18.1,76,29,35,76.9
108,Summer,18.2,76,29,36,76.9
109,Summer,18.3,77,30,36,77.0
110,Summer,18.4,77,30,37,77.1
111,Summer,18.5,77,31,37,77.1
112,Summer,18.7,77,31,38,77.2
113,Summer,18.8,78,32,38,77.3
114,Summer,18.9,78,32,39,77.3
115,Summer,19.0,78,33,39,77.4
116,Summer,19.1,78,34,40,77.4
117,Summer,19.1,78,34,40,77.5
118,Summer,19.2,78,35,40,77.5
119,Summer,19.3,79,36,41,77.5
120,Summer,19.4,79,36,41,77.6
121,Summer,19.5,79,37,42,77.6
122,Summer,19.5,79,38,42,77.6
123,Summer,19.6,79,39,43,77.7
124,Summer,19.6,79,39,43,77.7
125,Summer,19.7,79,40,44,77.7
126,Summer,19.7,79,41,44,77.7
127,Summer,19.8,80,42,45,77.7
128,Summer,19.8,80,43,45,77.7
129,Summer,19.9,80,43,46,77.7
130,Summer,19.9,80,44,46,77.8
131,Summer,19.9,80,45,47,77.8
132,Summer,19.9,80,46,48,77.8
133,Summer,20.0,80,47,48,77.8
134,Summer,20.0,80,48,49,77.8
135,Summer,20.0,80,48,49,77.8
136,Summer,20.0,80,49,50,77.8
137,Summer,20.0,80,50,50,77.8
138,Summer,20.0,80,51,51,77.8
139,Summer,20.0,80,52,51,77.8
140,Summer,20.0,80,53,52,77.8
141,Summer,20.0,80,54,52,77.8
142,Summer,19.9,80,55,53,77.8
143,Summer,19.9,80,55,53,77.8
144,Summer,19.9,80,56,54,77.8
145,Summer,19.8,80,57,54,77.8
146,Summer,19.8,80,58,55,77.8
147,Summer,19.8,80,59,55,77.8
148,Summer,19.7,79,59,56,77.8
149,Summer,19.7,79,60,56,77.8
150,Summer,19.6,79,61,57,77.8
151,Summer,19.6,79,62,57,77.8
152,Summer,19.5,79,62,58,77.8
153,Summer,19.4,79,63,58,77.7
154,Summer,19.3,79,64,59,77.7
155,Summer,19.3,79,65,59,77.7
156,Summer,19.2,78,65,60,77.7
157,Summer,19.1,78,66,60,77.7
158,Summer,19.0,78,67,61,77.7
159,Summer,18.9,78,67,61,77.6
160,Summer,18.8,78,68,62,77.6
161,Summer,18.7,77,69,62,77.6
162,Summer,18.6,77,69,63,77.5
163,Summer,18.5,77,70,63,77.5
164,Summer,18.4,77,70,64,77.4
165,Summer,18.3,77,71,64,77.4
166,Summer,18.1,76,71,64,77.3
167,Summer,18.0,76,72,65,77.3
168,Summer,17.9,76,72,65,77.2
169,Summer,17.8,76,72,66,77.1
170,Summer,17.6,75,73,66,77.0
171,Summer,17.5,75,73,67,77.0
172,Summer,17.3,75,73,67,76.8
173,Summer,17.2,74,74,67,76.7
174,Summer,17.0,74,74,68,76.6
175,Summer,16.9,74,74,68,76.5
176,Summer,16.7,73,74,69,76.4
177,Summer,16.5,73,75,69,76.2
178,Summer,16.4,73,75,70,76.0
179,Summer,16.2,72,75,70,75.9
180,Summer,16.0,72,75,70,75.7
181,Summer,15.9,72,75,71,75.5
182,Summer,15.7,71,75,71,75.3
183,Autumn,15.5,71,75,71,75.1
184,Autumn,15.3,71,75,72,74.8
185,Autumn,15.1,70,75,72,74.6
186,Autumn,14.9,70,75,72,74.3
187,Autumn,14.7,69,75,73,74.1
188,Autumn,14.5,69,75,73,73.8
189,Autumn,14.3,69,74,74,73.4
190,Autumn,14.2,68,74,74,73.2
191,Autumn,13.9,68,74,74,72.8
192,Autumn,13.7,67,74,74,72.5
193,Autumn,13.5,67,73,75,72.1
194,Autumn,13.3,67,73,75,71.7
195,Autumn,13.1,66,73,75,71.3
196,Autumn,12.9,66,72,76,70.9
197,Autumn,12.6,65,72,76,70.4
198,Autumn,12.4,65,71,76,69.9
199,Autumn,12.2,64,71,76,69.5
200,Autumn,12.0,64,71,77,69.0
201,Autumn,11.7,63,70,77,68.4
202,Autumn,11.5,63,70,77,67.9
203,Autumn,11.3,63,69,77,67.3
204,Autumn,11.0,62,68,77,66.7
205,Autumn,10.8,62,68,78,66.1
206,Autumn,10.5,61,67,78,65.5
207,Autumn,10.3,61,67,78,64.8
208,Autumn,10.1,60,66,78,64.2
209,Autumn,9.8,60,65,78,63.5
210,Autumn,9.6,59,65,79,62.8
211,Autumn,9.3,59,64,79,62.0
212,Autumn,9.1,58,63,79,61.3
213,Autumn,8.9,58,62,79,60.6
214,Autumn,8.6,57,62,79,59.8
215,Autumn,8.4,57,61,79,59.0
216,Autumn,8.1,56,60,79,58.2
217,Autumn,7.8,56,59,79,57.3
218,Autumn,7.6,55,58,80,56.4
219,Autumn,7.3,55,58,80,55.5
220,Autumn,7.1,54,57,80,54.6
221,Autumn,6.8,54,56,80,53.7
222,Autumn,6.6,53,55,80,52.7
223,Autumn,6.3,53,54,80,51.8
224,Autumn,6.0,52,53,80,50.8
225,Autumn,5.8,52,53,80,49.8
226,Autumn,5.5,51,52,80,48.7
227,Autumn,5.3,51,51,80,47.7
228,Autumn,5.0,50,50,80,46.6
229,Autumn,4.7,49,49,80,45.5
230,Autumn,4.5,49,48,80,44.4
231,Autumn,4.2,48,47,80,43.3
232,Autumn,4.0,48,47,80,42.2
233,Autumn,3.7,47,46,80,41.1
234,Autumn,3.4,47,45,80,39.9
235,Autumn,3.2,46,44,80,38.7
236,Autumn,3.0,46,43,80,37.7
237,Autumn,2.7,45,42,80,0.0
238,Autumn,2.5,45,42,80,0.0
239,Autumn,2.2,44,41,79,0.0
240,Autumn,1.9,44,40,79,0.0
241,Autumn,1.7,43,39,79,0.0
242,Autumn,1.4,43,38,79,0.0
243,Autumn,1.2,42,38,79,0.0
244,Autumn,0.9,42,37,79,0.0
245,Autumn,0.7,41,36,79,0.0
246,Autumn,0.4,41,36,79,0.0
247,Autumn,0.2,40,35,78,0.0
248,Autumn,-0.1,40,34,78,0.0
249,Autumn,-0.3,39,33,78,0.0
250,Autumn,-0.5,39,33,78,0.0
251,Autumn,-0.8,38,32,78,0.0
252,Autumn,-1.0,38,32,77,0.0
253,Autumn,-1.3,37,31,77,0.0
254,Autumn,-1.5,37,30,77,0.0
255,Autumn,-1.7,37,30,77,0.0
256,Autumn,-2.0,36,29,77,0.0
257,Autumn,-2.2,36,29,76,0.0
258,Autumn,-2.4,35,29,76,0.0
259,Autumn,-2.6,35,28,76,0.0
260,Autumn,-2.8,34,28,76,0.0
261,Autumn,-3.1,34,27,75,0.0
262,Autumn,-3.3,33,27,75,0.0
263,Autumn,-3.5,33,27,75,0.0
264,Autumn,-3.7,33,26,74,0.0
265,Autumn,-3.9,32,26,74,0.0
266,Autumn,-4.1,32,26,74,0.0
267,Autumn,-4.3,31,26,74,0.0
268,Autumn,-4.5,31,25,73,0.0
269,Autumn,-4.7,31,25,73,0.0
270,Autumn,-4.9,30,25,73,0.0
271,Autumn,-5.1,30,25,72,0.0
272,Autumn,-5.3,29,25,72,0.0
273,Autumn,-5.5,29,25,71,0.0
274,Winter,-5.7,29,25,71,0.0
275,Winter,-5.9,28,25,71,0.0
276,Winter,-6.0,28,25,70,0.0
277,Winter,-6.2,28,25,70,0.0
278,Winter,-6.4,27,25,70,0.0
279,Winter,-6.5,27,25,69,0.0
280,Winter,-6.7,27,26,69,0.0
281,Winter,-6.8,26,26,68,0.0
282,Winter,-7.0,26,26,68,0.0
283,Winter,-7.2,26,26,68,0.0
284,Winter,-7.3,25,27,67,0.0
285,Winter,-7.5,25,27,67,0.0
286,Winter,-7.6,25,27,66,0.0
287,Winter,-7.7,25,28,66,0.0
288,Winter,-7.9,24,28,65,0.0
289,Winter,-8.0,24,28,65,0.0
290,Winter,-8.1,24,29,64,0.0
291,Winter,-8.3,23,29,64,0.0
292,Winter,-8.4,23,30,64,0.0
293,Winter,-8.5,23,30,63,0.0
294,Winter,-8.6,23,31,63,0.0
295,Winter,-8.7,23,31,62,0.0
296,Winter,-8.8,22,32,62,0.0
297,Winter,-8.9,22,33,61,0.0
298,Winter,-9.0,22,33,61,0.0
299,Winter,-9.1,22,34,60,0.0
300,Winter,-9.2,22,35,60,0.0
301,Winter,-9.3,21,35,59,0.0
302,Winter,-9.3,21,36,59,0.0
303,Winter,-9.4,21,37,58,0.0
304,Winter,-9.5,21,37,58,0.0
305,Winter,-9.5,21,38,57,0.0
306,Winter,-9.6,21,39,57,0.0
307,Winter,-9.7,21,40,56,0.0
308,Winter,-9.7,21,41,56,0.0
309,Winter,-9.8,20,41,55,0.0
310,Winter,-9.8,20,42,55,0.0
311,Winter,-9.8,20,43,54,0.0
312,Winter,-9.9,20,44,54,0.0
313,Winter,-9.9,20,45,53,0.0
314,Winter,-9.9,20,46,53,0.0
315,Winter,-10.0,20,46,52,0.0
316,Winter,-10.0,20,47,52,0.0
317,Winter,-10.0,20,48,51,0.0
318,Winter,-10.0,20,49,51,0.0
319,Winter,-10.0,20,50,50,0.0
320,Winter,-10.0,20,51,50,0.0
321,Winter,-10.0,20,51,49,0.0
322,Winter,-10.0,20,52,49,0.0
323,Winter,-10.0,20,53,48,0.0
324,Winter,-10.0,20,54,48,0.0
325,Winter,-9.9,20,55,47,0.0
326,Winter,-9.9,20,56,47,0.0
327,Winter,-9.9,20,57,46,0.0
328,Winter,-9.8,20,57,46,0.0
329,Winter,-9.8,20,58,45,0.0
330,Winter,-9.7,21,59,44,0.0
331,Winter,-9.7,21,60,44,0.0
332,Winter,-9.6,21,61,43,0.0
333,Winter,-9.6,21,61,43,0.0
334,Winter,-9.5,21,62,42,0.0
335,Winter,-9.5,21,63,42,0.0
336,Winter,-9.4,21,64,41,0.0
337,Winter,-9.3,21,64,41,0.0
338,Winter,-9.2,22,65,40,0.0
339,Winter,-9.1,22,66,40,0.0
340,Winter,-9.1,22,66,39,0.0
341,Winter,-9.0,22,67,39,0.0
342,Winter,-8.9,22,68,39,0.0
343,Winter,-8.8,22,68,38,0.0
344,Winter,-8.7,23,69,38,0.0
345,Winter,-8.6,23,69,37,0.0
346,Winter,-8.4,23,70,37,0.0
347,Winter,-8.3,23,70,36,0.0
348,Winter,-8.2,24,71,36,0.0
349,Winter,-8.1,24,71,35,0.0
350,Winter,-8.0,24,72,35,0.0
351,Winter,-7.8,24,72,34,0.0
352,Winter,-7.7,25,73,34,0.0
353,Winter,-7.5,25,73,34,0.0
354,Winter,-7.4,25,73,33,0.0
355,Winter,-7.3,25,74,33,0.0
356,Winter,-7.1,26,74,32,0.0
357,Winter,-6.9,26,74,32,0.0
358,Winter,-6.8,26,74,31,0.0
359,Winter,-6.6,27,74,31,0.0
360,Winter,-6.5,27,75,31,0.0
361,Winter,-6.3,27,75,30,0.0
362,Winter,-6.1,28,75,30,0.0
363,Winter,-5.9,28,75,29,0.0
364,Winter,-5.8,28,75,29,0.0
365,Winter,-5.6,29,75,29,0.0
